Category,Item,Link,Quantity,Price (each),Total,Estimated Lead Time,Purchase Requested?,Materials Received,Notes,,
"NVIDIA JetRacer 
(Tamiya Version) 

https://github.com/NVIDIA-AI-IOT/jetracer/blob/master/docs/tamiya/bill_of_materials.md",Jetson Nano,https://www.newegg.com/nvidia-945-13541-0000-000/p/N82E16813190013,4,300,1200,5-32 days,No,No,"Marked up price, 4GB",,
,64 GB Micro SD Card,https://www.amazon.com/Samsung-MicroSDXC-Adapter-MB-ME64GA-AM/dp/B06XX29S9Q/ref=as_li_ss_tl?utm_source=GitHub&utm_medium=link&linkCode=sl1&tag=greenrobot0f-20&linkId=5f88321fcebe8ba5a613e26205c08bd9&language=en_US&th=1,4,38.89,155.56,14 days,Yes,Yes,,Total Price:,3812.62
,USB Battery,https://www.amazon.com/Miady-Portable-Charger-5000mAh-Lightweight/dp/B083VRD7CX/ref=sr_1_10?crid=26C23VQSFTNP5&keywords=5v+2a+usb+battery&qid=1642111770&sprefix=5v+2a+usb+battery%2Caps%2C321&sr=8-10,2,17.99,35.98,7 days,Yes,Yes,"5V, 2.4A, 5000mAh. 2 pack",,
,USB A -> USB C cable,https://www.amazon.com/Charging-CIKOO-Braided-Charger-Oneplus/dp/B01MZ8RA3A/ref=psdc_464394_t1_B084KTFXCN,1,7.99,7.99,7 days,Yes,Yes,For the 2GB version,Total Spent:,3085.88
,USB A -> 2.1mm Barrell Cable,https://www.amazon.com/gp/product/B075112RM6/ref=as_li_ss_tl?ie=UTF8&linkCode=sl1&tag=greenrobot0f-20&linkId=70b2bdf0dd86762cb6c62e512f22515d&language=en_US&th=1,4,7,28,7 days,Yes,Yes,For the 4GB version,,
,5V @ 4A Barrell Plug Power Supply,https://www.adafruit.com/product/1466,4,14.95,59.8,10 days,No,Yes,,,
,Jumper Caps Pack,https://www.amazon.com/dp/B077957RN7/ref=as_li_ss_tl?ie=UTF8&linkCode=sl1&tag=greenrobot0f-20&linkId=8a4089339b875254601987aa1d0a3c4b&language=en_US,1,5.08,5.08,7 days,Yes,Yes,,,
,,,,,,,,,,,
,RC Car,https://www.amainhobbies.com/tamiya-subaru-impreza-montecarlo-99-tt02-1-10-4wd-electric-rally-car-kit-tam58631-60a/p1382011?gclid=Cj0KCQiA_8OPBhDtARIsAKQu0gY_BA_d_HpMvHajElwHlLEKCsfS3tTADiTogx4E29vuAJF1hd-80QsaAnThEALw_wcB,4,182.56,730.24,21 days,Yes,Yes,,,
,Servo,https://www.amazon.com/Futaba-S3004-Standard-Bearing-Servo/dp/B001KAPMG6/ref=as_li_ss_tl?keywords=Futaba+S3003&qid=1564608106&s=toys-and-games&sr=1-3&linkCode=sl1&tag=greenrobot0f-20&linkId=31606d6fbdc54c2d3b6e5fd9d6f3a296&language=en_US,4,19.99,79.96,10 days,Yes,Yes,,,
